

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
33,Sell Short,27/10/2016 07:15,Sell3,$2901.75,$0.00,4,$195.00,0.34%,$195.00,75.00%,,$0.00,$0.00
,Buy to Cover,27/10/2016 09:20,Cover,$2892.00,,$195.00,($455.00),,($65.00),100.00%,75.00%,$0.00,$0.00
34,Sell Short,28/10/2016 09:35,Sell2,$2893.50,$0.00,3,($3.75),-0.01%,$7.50,16.67%,,$0.00,$0.00
,Buy to Cover,28/10/2016 10:35,chiudoShort,$2893.75,,($3.75),($458.75),,($37.50),75.00%,-8.33%,$0.00,$0.00
35,Sell Short,08/11/2016 10:20,Sell2,$2894.00,$0.00,3,$3.75,0.01%,$15.00,33.33%,,$0.00,$0.00
,Buy to Cover,08/11/2016 10:35,chiudoShort,$2893.75,,$3.75,($455.00),,($30.00),75.00%,8.33%,$0.00,$0.00
36,Sell Short,10/11/2016 02:20,Sell2,$2934.75,$0.00,3,$221.25,0.50%,$221.25,67.82%,,$0.00,$0.00
,Buy to Cover,10/11/2016 09:30,Target2lottoS,$2920.00,,$221.25,($233.75),,($105.00),100.00%,67.82%,$0.00,$0.00
37,Sell Short,10/11/2016 02:25,Sell3,$2937.75,$0.00,4,$420.00,0.71%,$420.00,84.00%,,$0.00,$0.00
,Buy to Cover,10/11/2016 09:30,Cover,$2916.75,,$420.00,$186.25,,($80.00),100.00%,84.00%,$0.00,$0.00
38,Sell Short,15/11/2016 09:20,Sell2,$2930.25,$0.00,3,$22.50,0.05%,$56.25,88.24%,,$0.00,$0.00
,Buy to Cover,15/11/2016 10:35,chiudoShort,$2928.75,,$22.50,$208.75,,($7.50),47.06%,35.29%,$0.00,$0.00
39,Sell Short,24/11/2016 09:45,Sell2,$2966.00,$0.00,3,($18.75),-0.04%,$3.75,12.50%,,$0.00,$0.00
,Buy to Cover,24/11/2016 10:35,chiudoShort,$2967.25,,($18.75),$190.00,,($26.25),25.00%,-62.50%,$0.00,$0.00
40,Sell Short,29/11/2016 03:00,Sell2,$2965.50,$0.00,3,$78.75,0.18%,$78.75,75.00%,,$0.00,$0.00
,Buy to Cover,29/11/2016 08:25,Cover,$2960.25,,$78.75,$268.75,,($26.25),100.00%,75.00%,$0.00,$0.00
41,Sell Short,29/11/2016 09:50,Sell2,$2965.50,$0.00,3,($11.25),-0.03%,$18.75,55.56%,,$0.00,$0.00
,Buy to Cover,29/11/2016 10:35,chiudoShort,$2966.25,,($11.25),$257.50,,($15.00),11.11%,-33.33%,$0.00,$0.00
42,Sell Short,30/11/2016 02:40,Sell2,$2968.75,$0.00,3,$26.25,0.06%,$52.50,35.90%,,$0.00,$0.00
,Buy to Cover,30/11/2016 10:35,chiudoShort,$2967.00,,$26.25,$283.75,,($93.75),82.05%,17.95%,$0.00,$0.00
