

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
60,Sell Short,14/11/2017 09:00,Es,$3347.00,$0.00,1,($16.25),-0.10%,$46.25,66.07%,,$0.00,$0.00
,Buy to Cover,14/11/2017 10:15,Cover,$3350.25,,($16.25),$137.50,,($23.75),10.71%,-23.21%,$0.00,$0.00
61,Sell Short,15/11/2017 09:00,Es,$3330.25,$0.00,1,($42.50),-0.26%,$3.75,4.84%,,$0.00,$0.00
,Buy to Cover,15/11/2017 15:00,EoDS,$3338.75,,($42.50),$95.00,,($73.75),40.32%,-54.84%,$0.00,$0.00
62,Sell Short,01/12/2017 10:45,Es,$3387.75,$0.00,1,($46.25),-0.27%,$46.25,41.57%,,$0.00,$0.00
,Buy to Cover,01/12/2017 11:00,Cover,$3397.00,,($46.25),$48.75,,($65.00),16.85%,-41.57%,$0.00,$0.00
63,Sell Short,02/02/2018 09:15,Es,$3570.00,$0.00,1,$167.50,0.94%,$188.75,93.21%,,$0.00,$0.00
,Buy to Cover,02/02/2018 15:00,EoDS,$3536.50,,$167.50,$216.25,,($13.75),89.51%,82.72%,$0.00,$0.00
64,Sell Short,05/02/2018 12:30,Es,$3496.25,$0.00,1,$312.50,1.79%,$312.50,91.58%,,$0.00,$0.00
,Buy to Cover,05/02/2018 14:15,Profit Target,$3433.75,,$312.50,$528.75,,($28.75),100.00%,91.58%,$0.00,$0.00
65,Sell Short,01/03/2018 13:15,Es,$3442.50,$0.00,1,($52.50),-0.31%,$66.25,50.48%,,$0.00,$0.00
,Buy to Cover,01/03/2018 14:30,Cover,$3453.00,,($52.50),$476.25,,($65.00),9.52%,-40.00%,$0.00,$0.00
66,Sell Short,19/03/2018 11:00,Es,$3485.50,$0.00,1,$56.25,0.32%,$112.50,98.90%,,$0.00,$0.00
,Buy to Cover,19/03/2018 15:00,EoDS,$3474.25,,$56.25,$532.50,,($1.25),50.55%,49.45%,$0.00,$0.00
67,Sell Short,22/03/2018 09:15,Es,$3452.00,$0.00,1,($52.50),-0.30%,$10.00,14.29%,,$0.00,$0.00
,Buy to Cover,22/03/2018 09:30,Cover,$3462.50,,($52.50),$480.00,,($60.00),10.71%,-75.00%,$0.00,$0.00
68,Sell Short,02/04/2018 11:00,Es,$3343.50,$0.00,1,($8.75),-0.05%,$15.00,26.67%,,$0.00,$0.00
,Buy to Cover,02/04/2018 11:15,Cover,$3345.25,,($8.75),$471.25,,($41.25),57.78%,-15.56%,$0.00,$0.00
69,Sell Short,06/04/2018 13:15,Es,$3374.50,$0.00,1,$28.75,0.17%,$121.25,90.65%,,$0.00,$0.00
,Buy to Cover,06/04/2018 15:00,EoDS,$3368.75,,$28.75,$500.00,,($12.50),30.84%,21.50%,$0.00,$0.00
70,Sell Short,24/04/2018 12:15,Es,$3405.00,$0.00,1,$90.00,0.53%,$116.25,81.58%,,$0.00,$0.00
,Buy to Cover,24/04/2018 15:00,EoDS,$3387.00,,$90.00,$590.00,,($26.25),81.58%,63.16%,$0.00,$0.00
71,Sell Short,03/05/2018 10:00,Es,$3363.50,$0.00,1,($25.00),-0.15%,$32.50,52.00%,,$0.00,$0.00
,Buy to Cover,03/05/2018 10:30,Cover,$3368.50,,($25.00),$565.00,,($30.00),8.00%,-40.00%,$0.00,$0.00
72,Sell Short,24/05/2018 10:15,Es,$3473.25,$0.00,1,($35.00),-0.20%,$8.75,18.92%,,$0.00,$0.00
,Buy to Cover,24/05/2018 10:30,Cover,$3480.25,,($35.00),$530.00,,($37.50),5.41%,-75.68%,$0.00,$0.00
73,Sell Short,29/05/2018 09:00,Es,$3465.50,$0.00,1,($36.25),-0.21%,$2.50,5.41%,,$0.00,$0.00
,Buy to Cover,29/05/2018 09:15,Cover,$3472.75,,($36.25),$493.75,,($43.75),16.22%,-78.38%,$0.00,$0.00
74,Sell Short,31/05/2018 10:00,Es,$3478.00,$0.00,1,($20.00),-0.12%,$26.25,55.26%,,$0.00,$0.00
,Buy to Cover,31/05/2018 10:45,Cover,$3482.00,,($20.00),$473.75,,($21.25),2.63%,-42.11%,$0.00,$0.00
75,Sell Short,19/06/2018 09:00,Es,$3518.25,$0.00,1,($15.00),-0.09%,$50.00,67.80%,,$0.00,$0.00
,Buy to Cover,19/06/2018 10:45,Cover,$3521.25,,($15.00),$458.75,,($23.75),11.86%,-20.34%,$0.00,$0.00
76,Sell Short,21/06/2018 09:45,Es,$3515.75,$0.00,1,($21.25),-0.12%,$17.50,42.42%,,$0.00,$0.00
,Buy to Cover,21/06/2018 10:30,Cover,$3520.00,,($21.25),$437.50,,($23.75),6.06%,-51.52%,$0.00,$0.00
77,Sell Short,25/06/2018 09:00,Es,$3499.25,$0.00,1,$81.25,0.46%,$183.75,99.32%,,$0.00,$0.00
,Buy to Cover,25/06/2018 15:00,EoDS,$3483.00,,$81.25,$518.75,,($1.25),44.59%,43.92%,$0.00,$0.00
78,Sell Short,27/07/2018 11:45,Es,$3587.75,$0.00,1,$35.00,0.20%,$85.00,97.14%,,$0.00,$0.00
,Buy to Cover,27/07/2018 15:00,EoDS,$3580.75,,$35.00,$553.75,,($2.50),42.86%,40.00%,$0.00,$0.00
79,Sell Short,01/08/2018 11:45,Es,$3571.25,$0.00,1,($15.00),-0.08%,$6.25,25.00%,,$0.00,$0.00
