

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
Total Net Profit,$5547.00,$0.00,$5547.00,
Gross Profit,$28248.50,$0.00,$28248.50,
Gross Loss,($22701.50),$0.00,($22701.50),
Profit Factor,1.24,n/a,1.24,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$0.00,$0.00,$0.00,
,,,,
Select Total Net Profit,$6207.00,$0.00,$6207.00,
Select Gross Profit,$25229.50,$0.00,$25229.50,
Select Gross Loss,($19022.50),$0.00,($19022.50),
Select Profit Factor,1.33,n/a,1.33,
,,,,
Adjusted Total Net Profit,$1548.86,$0.00,$1548.86,
Adjusted Gross Profit,$25721.88,$0.00,$25721.88,
Adjusted Gross Loss,($24173.02),$0.00,($24173.02),
Adjusted Profit Factor,1.06,n/a,1.06,
,,,,
Total Number of Trades,363,0,363,
Percent Profitable,34.44%,0.00%,34.44%,
Winning Trades,125,0,125,
Losing Trades,238,0,238,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$15.28,$0.00,$15.28,
Avg. Winning Trade,$225.99,$0.00,$225.99,
Avg. Losing Trade,($95.38),$0.00,($95.38),
Ratio Avg. Win:Avg. Loss,2.37,n/a,2.37,
Largest Winning Trade,$1066.00,$0.00,$1066.00,
Largest Losing Trade,($1031.00),$0.00,($1031.00),
Largest Winner as % of Gross Profit,3.77%,n/a,3.77%,
Largest Loser as % of Gross Loss,4.54%,n/a,4.54%,
,,,,
Net Profit as % of Largest Loss,538.02%,n/a,538.02%,
Select Net Profit as % of Largest Loss,602.04%,n/a,602.04%,
Adjusted Net Profit as % of Largest Loss,150.23%,n/a,150.23%,
,,,,
Max. Consecutive Winning Trades,5,0,5,
Max. Consecutive Losing Trades,11,0,11,
Avg. Bars in Total Trades,10.58,0.00,10.58,
Avg. Bars in Winning Trades,19.09,0.00,19.09,
Avg. Bars in Losing Trades,6.11,0.00,6.11,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,0,1,
Total Shares/Contracts Held,363,0,363,
Account Size Required,$4130.50,$0.00,$4130.50,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,5.55%,,,
Annual Rate of Return,0.54%,,,
Buy & Hold Return,264.33%,,,
Return on Account,134.29%,,,
Avg. Monthly Return,$65.05,,,
Std. Deviation of Monthly Return,$535.78,,,
,,,,
Return Retracement Ratio,0.89,,,
RINA Index,2233.87,,,
Sharpe Ratio,-0.30,,,
K-Ratio,n/a,,,
,,,,
Trading Period,9 Years 11 Months 13 days,,,
Percent of Time in the Market,1.19%,,,
Time in the Market,1 Month 12 days 7 hours 45 Minutes,,,
Longest Flat Period,69 days 23 hours 45 Minutes,,,
,,,,
Max. Equity Run-up,$6803.00,,,
Date of Max. Equity Run-up,07/04/2025 09:00,,,
Max Equity Run-up as % of Initial Capital,6.80%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($4393.50),$0.00,($4393.50),
Date,12/03/2026 09:30,,,
as % of Initial Capital,4.39%,0.00%,4.39%,
Net Profit as % of Drawdown,126.25%,n/a,126.25%,
Select Net Profit as % of Drawdown,141.28%,n/a,141.28%,
Adjusted Net Profit as % of Drawdown,35.25%,n/a,35.25%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($4130.50),$0.00,($4130.50),
Date,03/19/26 12:45,,,
as % of Initial Capital,4.13%,0.00%,4.13%,
Net Profit as % of Drawdown,134.29%,n/a,134.29%,
Select Net Profit as % of Drawdown,150.27%,n/a,150.27%,
Adjusted Net Profit as % of Drawdown,37.50%,n/a,37.50%,
,,,,
Max. Trade Drawdown,($1083.50),$0.00,($1083.50),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,363,125,238,
Avg. Trade Net Profit,$15.28,$225.99,($95.38),
1 Std. Deviation of Avg. Trade,$215.48,$205.24,$114.74,
Avg. Trade + 1 Std. Deviation,$230.76,$431.23,$19.35,
Avg. Trade - 1 Std. Deviation,($200.19),$20.75,($210.12),
Coefficient of Variation,1410.09%,90.82%,120.29%,
,,,,
Time Averages,,,,
Avg. Time in Trades,2 hours 51 Minutes,4 hours 41 Minutes,1 hour 54 Minutes,
Avg. Time Between Trades,9 days 21 hours 31 Minutes,28 days 19 hours 52 Minutes,15 days 5 hours 16 Minutes,
Avg. Time Between Trade Profit Peaks,396 days 21 hours 10 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,9,3,6,
Outlier Profit/Loss,($660.00),$3019.00,($3679.00),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$1066.00,($1083.50),
Max. Value Date,,05/06/2026,07/04/2025,
Avg. Value,,$163.78,($95.46),
1 Std. Deviation,,$180.54,$111.59,
Avg. + 1 Std. Deviation,,$344.33,$16.13,
Avg. - 1 Std. Deviation,,($16.76),($207.04),
Coefficient of Variation,,110.24%,116.90%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-11.79%,54.95%,33.26%,
1 Std. Deviation,55.53%,30.19%,32.45%,
Avg. + 1 Std. Deviation,43.75%,85.14%,65.71%,
Avg. - 1 Std. Deviation,-67.32%,24.76%,0.82%,
Coefficient of Variation,471.21%,54.94%,97.55%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$1066.00,($1031.00),
Largest Profit/Loss as % of Gross,,3.77%,4.54%,
Largest Consec. Profit/Loss,,$2426.50,($2337.50),
Largest Consec. Profit/Loss as % of Gross,,8.59%,10.30%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,52,$199.70,($96.01),
2,25,$226.54,($120.98),
3,2,$135.50,($54.50),
4,3,$426.33,($195.33),
5,1,$121.60,($166.50),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,30,($104.43),$240.22,
2,17,($86.74),$223.41,
3,17,($64.36),$186.47,
4,4,($154.09),$315.75,
5,6,($106.55),$132.25,
6,4,($84.00),$228.88,
8,3,($66.27),$130.00,
9,2,($200.56),$299.50,
11,1,($41.68),$238.50,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,02/08/2016 12:30,Es,$8247.50,$0.00,1,($40.00),-0.24%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,02/08/2016 13:30,Cover,$8267.50,,($40.00),($40.00),,($41.50),3.61%,-96.39%,$0.00,$0.00
2,Sell Short,24/08/2016 13:30,Es,$8362.25,$0.00,1,$45.00,0.27%,$48.50,100.00%,,$0.00,$0.00
,Buy to Cover,24/08/2016 15:00,EoDS,$8339.75,,$45.00,$5.00,,$0.00,92.78%,92.78%,$0.00,$0.00
3,Sell Short,26/08/2016 11:30,Es,$8330.25,$0.00,1,($16.50),-0.10%,$7.00,25.45%,,$0.00,$0.00
,Buy to Cover,26/08/2016 12:00,Cover,$8338.50,,($16.50),($11.50),,($20.50),14.55%,-60.00%,$0.00,$0.00
4,Sell Short,30/08/2016 10:00,Es,$8341.00,$0.00,1,$6.50,0.04%,$32.00,77.11%,,$0.00,$0.00
,Buy to Cover,30/08/2016 15:00,EoDS,$8337.75,,$6.50,($5.00),,($9.50),38.55%,15.66%,$0.00,$0.00
5,Sell Short,31/08/2016 11:45,Es,$8321.50,$0.00,1,($8.00),-0.05%,$6.00,35.29%,,$0.00,$0.00
,Buy to Cover,31/08/2016 12:00,Cover,$8325.50,,($8.00),($13.00),,($11.00),17.65%,-47.06%,$0.00,$0.00
6,Sell Short,08/09/2016 09:15,Es,$8368.25,$0.00,1,($14.50),-0.09%,$14.50,35.80%,,$0.00,$0.00
,Buy to Cover,08/09/2016 10:00,Cover,$8375.50,,($14.50),($27.50),,($26.00),28.40%,-35.80%,$0.00,$0.00
7,Sell Short,09/09/2016 09:00,Es,$8336.00,$0.00,1,$143.00,0.86%,$151.50,96.81%,,$0.00,$0.00
,Buy to Cover,09/09/2016 15:00,EoDS,$8264.50,,$143.00,$115.50,,($5.00),94.57%,91.37%,$0.00,$0.00
8,Sell Short,13/09/2016 09:15,Es,$8296.25,$0.00,1,$27.00,0.16%,$61.50,82.55%,,$0.00,$0.00
,Buy to Cover,13/09/2016 15:00,EoDS,$8282.75,,$27.00,$142.50,,($13.00),53.69%,36.24%,$0.00,$0.00
9,Sell Short,07/10/2016 11:00,Es,$8412.25,$0.00,1,($19.50),-0.12%,$15.50,41.33%,,$0.00,$0.00
,Buy to Cover,07/10/2016 12:45,Cover,$8422.00,,($19.50),$123.00,,($22.00),6.67%,-52.00%,$0.00,$0.00
10,Sell Short,11/10/2016 09:15,Es,$8431.75,$0.00,1,$93.50,0.55%,$128.00,98.08%,,$0.00,$0.00
,Buy to Cover,11/10/2016 15:00,EoDS,$8385.00,,$93.50,$216.50,,($2.50),73.56%,71.65%,$0.00,$0.00
11,Sell Short,12/10/2016 09:00,Es,$8374.25,$0.00,1,($22.50),-0.13%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,12/10/2016 09:15,Cover,$8385.50,,($22.50),$194.00,,($26.50),15.09%,-84.91%,$0.00,$0.00
12,Sell Short,13/10/2016 09:00,Es,$8344.50,$0.00,1,($36.50),-0.22%,$40.50,48.80%,,$0.00,$0.00
,Buy to Cover,13/10/2016 12:00,Cover,$8362.75,,($36.50),$157.50,,($42.50),7.23%,-43.98%,$0.00,$0.00
13,Sell Short,26/10/2016 09:15,Es,$8418.00,$0.00,1,($12.00),-0.07%,$8.00,35.56%,,$0.00,$0.00
,Buy to Cover,26/10/2016 09:30,Cover,$8424.00,,($12.00),$145.50,,($14.50),11.11%,-53.33%,$0.00,$0.00
14,Sell Short,01/11/2016 11:30,Es,$8336.75,$0.00,1,$27.50,0.16%,$96.50,93.69%,,$0.00,$0.00
,Buy to Cover,01/11/2016 15:00,EoDS,$8323.00,,$27.50,$173.00,,($6.50),33.01%,26.70%,$0.00,$0.00
15,Sell Short,10/11/2016 09:45,Es,$8293.25,$0.00,1,($65.50),-0.39%,$88.50,54.46%,,$0.00,$0.00
,Buy to Cover,10/11/2016 12:30,Cover,$8326.00,,($65.50),$107.50,,($74.00),5.23%,-40.31%,$0.00,$0.00
16,Sell Short,14/11/2016 10:15,Es,$8257.50,$0.00,1,($17.50),-0.11%,$30.00,44.12%,,$0.00,$0.00
,Buy to Cover,14/11/2016 11:15,Cover,$8266.25,,($17.50),$90.00,,($38.00),30.15%,-25.74%,$0.00,$0.00
17,Sell Short,30/11/2016 14:00,Es,$8385.25,$0.00,1,($5.00),-0.03%,$0.50,3.85%,,$0.00,$0.00
,Buy to Cover,30/11/2016 14:15,Cover,$8387.75,,($5.00),$85.00,,($12.50),57.69%,-38.46%,$0.00,$0.00
18,Sell Short,01/12/2016 10:00,Es,$8321.25,$0.00,1,$46.00,0.28%,$57.50,71.88%,,$0.00,$0.00
,Buy to Cover,01/12/2016 15:00,EoDS,$8298.25,,$46.00,$131.00,,($22.50),85.63%,57.50%,$0.00,$0.00
19,Sell Short,30/12/2016 09:15,Es,$8452.00,$0.00,1,$48.50,0.29%,$62.00,86.11%,,$0.00,$0.00
,Buy to Cover,30/12/2016 15:00,EoDS,$8427.75,,$48.50,$179.50,,($10.00),81.25%,67.36%,$0.00,$0.00
20,Sell Short,30/01/2017 09:00,Es,$8686.25,$0.00,1,($1.50),-0.01%,$41.50,83.00%,,$0.00,$0.00
,Buy to Cover,30/01/2017 11:15,Cover,$8687.00,,($1.50),$178.00,,($8.50),14.00%,-3.00%,$0.00,$0.00
21,Sell Short,09/03/2017 13:30,Es,$8915.00,$0.00,1,($15.00),-0.08%,$15.50,49.21%,,$0.00,$0.00
,Buy to Cover,09/03/2017 14:15,Cover,$8922.50,,($15.00),$163.00,,($16.00),3.17%,-47.62%,$0.00,$0.00
22,Sell Short,14/03/2017 09:30,Es,$8943.75,$0.00,1,($9.50),-0.05%,$26.50,71.62%,,$0.00,$0.00
,Buy to Cover,14/03/2017 11:15,Cover,$8948.50,,($9.50),$153.50,,($10.50),2.70%,-25.68%,$0.00,$0.00
23,Sell Short,21/03/2017 10:15,Es,$8959.50,$0.00,1,$114.50,0.64%,$116.50,98.31%,,$0.00,$0.00
,Buy to Cover,21/03/2017 15:00,EoDS,$8902.25,,$114.50,$268.00,,($2.00),98.31%,96.62%,$0.00,$0.00
24,Sell Short,27/03/2017 09:00,Es,$8889.50,$0.00,1,($68.50),-0.39%,$4.50,6.12%,,$0.00,$0.00
,Buy to Cover,27/03/2017 10:00,Cover,$8923.75,,($68.50),$199.50,,($69.00),0.68%,-93.20%,$0.00,$0.00
25,Sell Short,11/04/2017 09:15,Es,$8958.25,$0.00,1,($6.00),-0.03%,$66.50,82.61%,,$0.00,$0.00
,Buy to Cover,11/04/2017 12:15,Cover,$8961.25,,($6.00),$193.50,,($14.00),9.94%,-7.45%,$0.00,$0.00
26,Sell Short,12/04/2017 12:15,Es,$8939.50,$0.00,1,($10.00),-0.06%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,12/04/2017 12:30,Cover,$8944.50,,($10.00),$183.50,,($16.50),39.39%,-60.61%,$0.00,$0.00
27,Sell Short,17/05/2017 09:15,Es,$9232.50,$0.00,1,$142.50,0.77%,$147.00,96.08%,,$0.00,$0.00
,Buy to Cover,17/05/2017 15:00,EoDS,$9161.25,,$142.50,$326.00,,($6.00),97.06%,93.14%,$0.00,$0.00
28,Sell Short,09/06/2017 12:00,Es,$9387.00,$0.00,1,$203.00,1.08%,$317.00,94.49%,,$0.00,$0.00
,Buy to Cover,09/06/2017 15:00,EoDS,$9285.50,,$203.00,$529.00,,($18.50),66.02%,60.51%,$0.00,$0.00
29,Sell Short,12/06/2017 09:00,Es,$9221.25,$0.00,1,($70.00),-0.38%,$37.00,33.18%,,$0.00,$0.00
,Buy to Cover,12/06/2017 10:00,Cover,$9256.25,,($70.00),$459.00,,($74.50),4.04%,-62.78%,$0.00,$0.00
30,Sell Short,15/06/2017 09:00,Es,$9220.25,$0.00,1,($23.00),-0.12%,$39.00,60.00%,,$0.00,$0.00
,Buy to Cover,15/06/2017 10:15,Cover,$9231.75,,($23.00),$436.00,,($26.00),4.62%,-35.38%,$0.00,$0.00
31,Sell Short,27/06/2017 12:30,Es,$9277.00,$0.00,1,($13.00),-0.07%,$4.50,18.00%,,$0.00,$0.00
,Buy to Cover,27/06/2017 12:45,Cover,$9283.50,,($13.00),$423.00,,($20.50),30.00%,-52.00%,$0.00,$0.00
32,Sell Short,29/06/2017 09:00,Es,$9257.00,$0.00,1,$71.50,0.39%,$193.00,92.34%,,$0.00,$0.00
,Buy to Cover,29/06/2017 15:00,EoDS,$9221.25,,$71.50,$494.50,,($16.00),41.87%,34.21%,$0.00,$0.00
33,Sell Short,03/07/2017 12:00,Es,$9157.00,$0.00,1,($28.00),-0.15%,$32.50,52.42%,,$0.00,$0.00
,Buy to Cover,04/07/2017 09:00,Cover,$9171.00,,($28.00),$466.50,,($29.50),2.42%,-45.16%,$0.00,$0.00
34,Sell Short,04/07/2017 10:00,Es,$9162.25,$0.00,1,($22.00),-0.12%,$85.00,59.23%,,$0.00,$0.00
,Buy to Cover,05/07/2017 09:00,Cover,$9173.25,,($22.00),$444.50,,($58.50),25.44%,-15.33%,$0.00,$0.00
35,Sell Short,09/08/2017 09:00,Es,$9430.25,$0.00,1,($52.00),-0.28%,$10.50,13.91%,,$0.00,$0.00
,Buy to Cover,09/08/2017 10:00,Cover,$9456.25,,($52.00),$392.50,,($65.00),17.22%,-68.87%,$0.00,$0.00
36,Sell Short,10/08/2017 09:00,Es,$9428.25,$0.00,1,$149.00,0.79%,$161.50,93.62%,,$0.00,$0.00
,Buy to Cover,10/08/2017 15:00,EoDS,$9353.75,,$149.00,$541.50,,($11.00),92.75%,86.38%,$0.00,$0.00
37,Sell Short,17/08/2017 09:30,Es,$9427.75,$0.00,1,$115.00,0.61%,$120.00,88.56%,,$0.00,$0.00
,Buy to Cover,17/08/2017 15:00,EoDS,$9370.25,,$115.00,$656.50,,($15.50),96.31%,84.87%,$0.00,$0.00
38,Sell Short,05/09/2017 11:30,Es,$9478.00,$0.00,1,($20.50),-0.11%,$58.00,68.24%,,$0.00,$0.00
,Buy to Cover,05/09/2017 13:45,Cover,$9488.25,,($20.50),$636.00,,($27.00),7.65%,-24.12%,$0.00,$0.00
39,Sell Short,20/09/2017 10:15,Es,$9512.50,$0.00,1,($26.50),-0.14%,$13.50,28.13%,,$0.00,$0.00
,Buy to Cover,20/09/2017 11:30,Cover,$9525.75,,($26.50),$609.50,,($34.50),16.67%,-55.21%,$0.00,$0.00
40,Sell Short,21/09/2017 09:00,Es,$9504.75,$0.00,1,($9.00),-0.05%,$66.50,83.65%,,$0.00,$0.00
,Buy to Cover,21/09/2017 11:30,Cover,$9509.25,,($9.00),$600.50,,($13.00),5.03%,-11.32%,$0.00,$0.00
41,Sell Short,25/09/2017 09:00,Es,$9449.50,$0.00,1,($26.00),-0.14%,$19.00,36.19%,,$0.00,$0.00
,Buy to Cover,25/09/2017 09:30,Cover,$9462.50,,($26.00),$574.50,,($33.50),14.29%,-49.52%,$0.00,$0.00
42,Sell Short,19/10/2017 09:00,Es,$9623.50,$0.00,1,($18.50),-0.10%,$40.00,67.80%,,$0.00,$0.00
,Buy to Cover,19/10/2017 10:15,Cover,$9632.75,,($18.50),$556.00,,($19.00),0.85%,-31.36%,$0.00,$0.00
43,Sell Short,25/10/2017 10:30,Es,$9583.00,$0.00,1,($56.50),-0.29%,$39.50,40.72%,,$0.00,$0.00
,Buy to Cover,25/10/2017 14:45,Cover,$9611.25,,($56.50),$499.50,,($57.50),1.03%,-58.25%,$0.00,$0.00
44,Sell Short,26/10/2017 09:30,Es,$9589.75,$0.00,1,($20.50),-0.11%,$4.50,15.25%,,$0.00,$0.00
,Buy to Cover,26/10/2017 09:45,Cover,$9600.00,,($20.50),$479.00,,($25.00),15.25%,-69.49%,$0.00,$0.00
45,Sell Short,15/11/2017 09:00,Es,$9789.50,$0.00,1,($30.50),-0.16%,$2.50,5.49%,,$0.00,$0.00
,Buy to Cover,15/11/2017 09:30,Cover,$9804.75,,($30.50),$448.50,,($43.00),27.47%,-67.03%,$0.00,$0.00
46,Sell Short,29/11/2017 09:45,Es,$9889.50,$0.00,1,$61.00,0.31%,$108.50,77.50%,,$0.00,$0.00
,Buy to Cover,29/11/2017 15:00,EoDS,$9859.00,,$61.00,$509.50,,($31.50),66.07%,43.57%,$0.00,$0.00
47,Sell Short,01/12/2017 10:45,Es,$9828.75,$0.00,1,($61.50),-0.31%,$61.00,41.78%,,$0.00,$0.00
,Buy to Cover,01/12/2017 11:30,Cover,$9859.50,,($61.50),$448.00,,($85.00),16.10%,-42.12%,$0.00,$0.00
48,Sell Short,04/12/2017 10:15,Es,$9838.75,$0.00,1,($33.50),-0.17%,$22.50,33.09%,,$0.00,$0.00
,Buy to Cover,04/12/2017 10:45,Cover,$9855.50,,($33.50),$414.50,,($45.50),17.65%,-49.26%,$0.00,$0.00
49,Sell Short,02/02/2018 13:00,Es,$10353.50,$0.00,1,($14.50),-0.07%,$11.50,33.33%,,$0.00,$0.00
,Buy to Cover,02/02/2018 13:15,Cover,$10360.75,,($14.50),$400.00,,($23.00),24.64%,-42.03%,$0.00,$0.00
50,Sell Short,05/02/2018 13:45,Es,$10219.50,$0.00,1,$366.00,1.79%,$366.00,98.92%,,$0.00,$0.00
,Buy to Cover,05/02/2018 14:15,Profit Target,$10036.50,,$366.00,$766.00,,($4.00),100.00%,98.92%,$0.00,$0.00
51,Sell Short,01/03/2018 13:30,Es,$10224.75,$0.00,1,($91.00),-0.44%,$4.50,4.62%,,$0.00,$0.00
,Buy to Cover,01/03/2018 13:45,Cover,$10270.25,,($91.00),$675.00,,($93.00),2.05%,-93.33%,$0.00,$0.00
52,Sell Short,19/03/2018 10:00,Es,$10432.75,$0.00,1,$133.00,0.64%,$206.50,93.44%,,$0.00,$0.00
,Buy to Cover,19/03/2018 15:00,EoDS,$10366.25,,$133.00,$808.00,,($14.50),66.74%,60.18%,$0.00,$0.00
53,Sell Short,22/03/2018 10:00,Es,$10288.25,$0.00,1,($31.00),-0.15%,$130.00,80.25%,,$0.00,$0.00
,Buy to Cover,22/03/2018 12:45,Cover,$10303.75,,($31.00),$777.00,,($32.00),0.62%,-19.14%,$0.00,$0.00
54,Sell Short,02/04/2018 13:00,Es,$9869.50,$0.00,1,($17.50),-0.09%,$69.50,71.65%,,$0.00,$0.00
,Buy to Cover,02/04/2018 14:15,Cover,$9878.25,,($17.50),$759.50,,($27.50),10.31%,-18.04%,$0.00,$0.00
55,Sell Short,24/04/2018 11:45,Es,$10051.75,$0.00,1,$131.00,0.65%,$152.50,100.00%,,$0.00,$0.00
,Buy to Cover,24/04/2018 15:00,EoDS,$9986.25,,$131.00,$890.50,,$0.00,85.90%,85.90%,$0.00,$0.00
56,Sell Short,27/04/2018 10:15,Es,$10147.25,$0.00,1,($49.00),-0.24%,$6.00,10.17%,,$0.00,$0.00
,Buy to Cover,27/04/2018 10:30,Cover,$10171.75,,($49.00),$841.50,,($53.00),6.78%,-83.05%,$0.00,$0.00
57,Sell Short,24/05/2018 10:15,Es,$10398.00,$0.00,1,($39.00),-0.19%,$9.00,16.82%,,$0.00,$0.00
,Buy to Cover,24/05/2018 10:30,Cover,$10417.50,,($39.00),$802.50,,($44.50),10.28%,-72.90%,$0.00,$0.00
58,Sell Short,29/05/2018 11:00,Es,$10426.00,$0.00,1,($5.50),-0.03%,$54.50,69.43%,,$0.00,$0.00
,Buy to Cover,29/05/2018 12:00,Cover,$10428.75,,($5.50),$797.00,,($24.00),23.57%,-7.01%,$0.00,$0.00
59,Sell Short,19/06/2018 09:15,Es,$10677.00,$0.00,1,($35.50),-0.17%,$70.50,60.52%,,$0.00,$0.00
,Buy to Cover,19/06/2018 10:45,Cover,$10694.75,,($35.50),$761.50,,($46.00),9.01%,-30.47%,$0.00,$0.00
60,Sell Short,21/06/2018 09:45,Es,$10739.50,$0.00,1,($16.00),-0.07%,$39.50,54.48%,,$0.00,$0.00
,Buy to Cover,21/06/2018 10:15,Cover,$10747.50,,($16.00),$745.50,,($33.00),23.45%,-22.07%,$0.00,$0.00
61,Sell Short,25/06/2018 09:00,Es,$10616.25,$0.00,1,$146.00,0.69%,$273.00,99.27%,,$0.00,$0.00
,Buy to Cover,25/06/2018 15:00,EoDS,$10543.25,,$146.00,$891.50,,($2.00),53.82%,53.09%,$0.00,$0.00
62,Sell Short,26/07/2018 09:15,Es,$10895.75,$0.00,1,($36.50),-0.17%,$6.00,10.81%,,$0.00,$0.00
,Buy to Cover,26/07/2018 09:30,Cover,$10914.00,,($36.50),$855.00,,($49.50),23.42%,-65.77%,$0.00,$0.00
63,Sell Short,27/07/2018 10:30,Es,$10858.75,$0.00,1,$133.00,0.61%,$222.00,90.43%,,$0.00,$0.00
,Buy to Cover,27/07/2018 15:00,EoDS,$10792.25,,$133.00,$988.00,,($23.50),63.75%,54.18%,$0.00,$0.00
64,Sell Short,30/07/2018 09:00,Es,$10711.25,$0.00,1,$46.50,0.22%,$120.50,72.37%,,$0.00,$0.00
,Buy to Cover,30/07/2018 15:00,EoDS,$10688.00,,$46.50,$1034.50,,($46.00),55.56%,27.93%,$0.00,$0.00
65,Sell Short,15/08/2018 09:30,Es,$10834.75,$0.00,1,($38.00),-0.18%,$68.00,58.87%,,$0.00,$0.00
,Buy to Cover,15/08/2018 15:00,Cover,$10853.75,,($38.00),$996.50,,($47.50),8.23%,-32.90%,$0.00,$0.00
66,Sell Short,05/09/2018 10:00,Es,$11003.75,$0.00,1,($26.50),-0.12%,$5.50,11.22%,,$0.00,$0.00
,Buy to Cover,05/09/2018 10:15,Cover,$11017.00,,($26.50),$970.00,,($43.50),34.69%,-54.08%,$0.00,$0.00
67,Sell Short,06/09/2018 10:30,Es,$10911.25,$0.00,1,($32.00),-0.15%,$17.50,28.69%,,$0.00,$0.00
,Buy to Cover,06/09/2018 10:45,Cover,$10927.25,,($32.00),$938.00,,($43.50),18.85%,-52.46%,$0.00,$0.00
68,Sell Short,04/10/2018 09:00,Es,$11039.75,$0.00,1,$171.00,0.77%,$254.00,90.71%,,$0.00,$0.00
,Buy to Cover,04/10/2018 15:00,EoDS,$10954.25,,$171.00,$1109.00,,($26.00),70.36%,61.07%,$0.00,$0.00
69,Sell Short,05/10/2018 10:30,Es,$10897.50,$0.00,1,$22.00,0.10%,$188.50,94.01%,,$0.00,$0.00
,Buy to Cover,05/10/2018 15:00,EoDS,$10886.50,,$22.00,$1131.00,,($12.00),16.96%,10.97%,$0.00,$0.00
70,Sell Short,08/10/2018 11:00,Es,$10770.00,$0.00,1,($121.50),-0.56%,$54.50,30.97%,,$0.00,$0.00
,Buy to Cover,08/10/2018 14:00,Cover,$10830.75,,($121.50),$1009.50,,($121.50),0.00%,-69.03%,$0.00,$0.00
71,Sell Short,10/10/2018 09:15,Es,$10714.00,$0.00,1,$268.50,1.25%,$300.50,86.72%,,$0.00,$0.00
,Buy to Cover,10/10/2018 15:00,EoDS,$10579.75,,$268.50,$1278.00,,($46.00),90.76%,77.49%,$0.00,$0.00
72,Sell Short,23/10/2018 09:15,Es,$10469.00,$0.00,1,($21.50),-0.10%,$137.50,76.39%,,$0.00,$0.00
,Buy to Cover,23/10/2018 10:45,Cover,$10479.75,,($21.50),$1256.50,,($42.50),11.67%,-11.94%,$0.00,$0.00
73,Sell Short,24/10/2018 10:30,Es,$10468.00,$0.00,1,($83.00),-0.40%,$56.50,35.65%,,$0.00,$0.00
,Buy to Cover,24/10/2018 11:15,Cover,$10509.50,,($83.00),$1173.50,,($102.00),11.99%,-52.37%,$0.00,$0.00
74,Sell Short,26/10/2018 10:00,Es,$10231.75,$0.00,1,($141.50),-0.69%,$50.00,23.58%,,$0.00,$0.00
,Buy to Cover,26/10/2018 10:45,Cover,$10302.50,,($141.50),$1032.00,,($162.00),9.67%,-66.75%,$0.00,$0.00
75,Sell Short,29/10/2018 13:45,Es,$10221.75,$0.00,1,($24.50),-0.12%,$43.50,52.73%,,$0.00,$0.00
,Buy to Cover,29/10/2018 14:00,Cover,$10234.00,,($24.50),$1007.50,,($39.00),17.58%,-29.70%,$0.00,$0.00
76,Sell Short,05/11/2018 09:00,Es,$10360.00,$0.00,1,($25.00),-0.12%,$77.50,66.24%,,$0.00,$0.00
,Buy to Cover,05/11/2018 13:30,Cover,$10372.50,,($25.00),$982.50,,($39.50),12.39%,-21.37%,$0.00,$0.00
77,Sell Short,09/11/2018 11:15,Es,$10480.25,$0.00,1,($22.00),-0.10%,$70.00,61.14%,,$0.00,$0.00
,Buy to Cover,09/11/2018 14:15,Cover,$10491.25,,($22.00),$960.50,,($44.50),19.65%,-19.21%,$0.00,$0.00
78,Sell Short,12/11/2018 10:00,Es,$10349.75,$0.00,1,$65.50,0.32%,$135.50,82.87%,,$0.00,$0.00
,Buy to Cover,12/11/2018 15:00,EoDS,$10317.00,,$65.50,$1026.00,,($28.00),57.19%,40.06%,$0.00,$0.00
79,Sell Short,19/11/2018 09:45,Es,$10203.50,$0.00,1,$196.00,0.96%,$213.00,78.45%,,$0.00,$0.00
,Buy to Cover,19/11/2018 15:00,EoDS,$10105.50,,$196.00,$1222.00,,($58.50),93.74%,72.19%,$0.00,$0.00
