

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
57,Buy,24/08/2018 14:02,Buy,$1910.1,$0.00,5,$60.00,0.06%,$110.00,59.46%,,$0.00,$0.00
,Sell,26/08/2018 18:05,Sell,$1911.3,,$60.00,$2815.00,,($75.00),72.97%,32.43%,$0.00,$0.00
58,Buy,31/08/2018 14:01,Buy,$1905.0,$0.00,5,($60.00),-0.06%,$35.00,16.28%,,$0.00,$0.00
,Sell,02/09/2018 18:05,Sell,$1903.8,,($60.00),$2755.00,,($180.00),55.81%,-27.91%,$0.00,$0.00
59,Buy,14/09/2018 14:01,Buy,$1898.2,$0.00,5,($110.00),-0.12%,$0.00,0.00%,,$0.00,$0.00
,Sell,16/09/2018 18:05,Sell,$1896.0,,($110.00),$2645.00,,($140.00),21.43%,-78.57%,$0.00,$0.00
60,Buy,28/09/2018 14:01,Buy,$1893.9,$0.00,5,($30.00),-0.03%,$20.00,20.00%,,$0.00,$0.00
,Sell,30/09/2018 18:05,Sell,$1893.3,,($30.00),$2615.00,,($80.00),50.00%,-30.00%,$0.00,$0.00
61,Buy,05/10/2018 14:01,Buy,$1902.9,$0.00,5,$90.00,0.09%,$120.00,77.42%,,$0.00,$0.00
,Sell,07/10/2018 18:06,Sell,$1904.7,,$90.00,$2705.00,,($35.00),80.65%,58.06%,$0.00,$0.00
62,Buy,19/10/2018 14:03,Buy,$1926.8,$0.00,5,$80.00,0.08%,$80.00,69.57%,,$0.00,$0.00
,Sell,21/10/2018 18:05,Sell,$1928.4,,$80.00,$2785.00,,($35.00),100.00%,69.57%,$0.00,$0.00
63,Buy,09/11/2018 14:01,Buy,$1906.4,$0.00,5,$55.00,0.06%,$80.00,88.89%,,$0.00,$0.00
,Sell,11/11/2018 18:05,Sell,$1907.5,,$55.00,$2840.00,,($10.00),72.22%,61.11%,$0.00,$0.00
64,Buy,07/12/2018 14:01,Buy,$1945.1,$0.00,5,$100.00,0.10%,$110.00,68.75%,,$0.00,$0.00
,Sell,09/12/2018 18:05,Sell,$1947.1,,$100.00,$2940.00,,($50.00),93.75%,62.50%,$0.00,$0.00
65,Buy,21/12/2018 14:01,Buy,$1949.4,$0.00,5,$155.00,0.16%,$180.00,85.71%,,$0.00,$0.00
,Sell,23/12/2018 18:05,Sell,$1952.5,,$155.00,$3095.00,,($30.00),88.10%,73.81%,$0.00,$0.00
66,Buy,04/01/2019 14:01,Buy,$1976.1,$0.00,5,$90.00,0.09%,$140.00,90.32%,,$0.00,$0.00
,Sell,06/01/2019 18:05,Sell,$1977.9,,$90.00,$3185.00,,($15.00),67.74%,58.06%,$0.00,$0.00
67,Buy,18/01/2019 14:01,Buy,$1972.9,$0.00,5,$125.00,0.13%,$145.00,31.52%,,$0.00,$0.00
,Sell,22/01/2019 18:06,Sell#2,$1975.4,,$125.00,$3310.00,,($315.00),95.65%,27.17%,$0.00,$0.00
68,Buy,25/01/2019 14:01,Buy,$1987.5,$0.00,5,$230.00,0.23%,$370.00,100.00%,,$0.00,$0.00
,Sell,27/01/2019 18:05,Sell,$1992.1,,$230.00,$3540.00,,$0.00,62.16%,62.16%,$0.00,$0.00
69,Buy,08/02/2019 14:01,Buy,$2002.4,$0.00,5,($15.00),-0.01%,$70.00,70.00%,,$0.00,$0.00
,Sell,10/02/2019 18:05,Sell,$2002.1,,($15.00),$3525.00,,($30.00),15.00%,-15.00%,$0.00,$0.00
