

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
52,Sell Short,17/01/2017 09:00,SE,$8592.00,$0.00,1,($180.00),-0.10%,$125.00,32.89%,,$0.00,$0.00
,Buy to Cover,17/01/2017 09:30,SXlivS,$8601.00,,($180.00),$1765.00,,($255.00),19.74%,-47.37%,$0.00,$0.00
53,Sell Short,18/01/2017 10:00,SE,$8602.25,$0.00,1,($85.00),-0.05%,$45.00,28.13%,,$0.00,$0.00
,Buy to Cover,18/01/2017 10:15,SXlivS,$8606.50,,($85.00),$1680.00,,($115.00),18.75%,-53.13%,$0.00,$0.00
54,Sell Short,19/01/2017 13:30,SE,$8600.50,$0.00,1,($180.00),-0.10%,$65.00,23.64%,,$0.00,$0.00
,Buy to Cover,19/01/2017 14:45,SXlivS,$8609.50,,($180.00),$1500.00,,($210.00),10.91%,-65.45%,$0.00,$0.00
55,Sell Short,20/01/2017 11:30,SE,$8611.00,$0.00,1,($150.00),-0.09%,$110.00,31.43%,,$0.00,$0.00
,Buy to Cover,20/01/2017 12:45,SXlivS,$8618.50,,($150.00),$1350.00,,($240.00),25.71%,-42.86%,$0.00,$0.00
56,Sell Short,23/01/2017 10:00,SE,$8603.00,$0.00,1,($80.00),-0.05%,$240.00,68.57%,,$0.00,$0.00
,Buy to Cover,23/01/2017 11:45,SXlivS,$8607.00,,($80.00),$1270.00,,($110.00),8.57%,-22.86%,$0.00,$0.00
57,Sell Short,30/01/2017 09:00,SE,$8676.00,$0.00,1,($40.00),-0.02%,$415.00,78.30%,,$0.00,$0.00
,Buy to Cover,30/01/2017 15:00,SXeoS,$8678.00,,($40.00),$1230.00,,($115.00),14.15%,-7.55%,$0.00,$0.00
58,Sell Short,31/01/2017 10:45,SE,$8651.00,$0.00,1,($85.00),-0.05%,$140.00,58.33%,,$0.00,$0.00
,Buy to Cover,31/01/2017 12:00,SXlivS,$8655.25,,($85.00),$1145.00,,($100.00),6.25%,-35.42%,$0.00,$0.00
59,Sell Short,01/02/2017 10:15,SE,$8688.00,$0.00,1,($105.00),-0.06%,$5.00,3.13%,,$0.00,$0.00
,Buy to Cover,01/02/2017 10:30,SXlivS,$8693.25,,($105.00),$1040.00,,($155.00),31.25%,-65.63%,$0.00,$0.00
60,Sell Short,23/02/2017 09:00,SE,$8902.00,$0.00,1,$230.00,0.13%,$610.00,84.72%,,$0.00,$0.00
,Buy to Cover,23/02/2017 15:00,SXeoS,$8890.50,,$230.00,$1270.00,,($110.00),47.22%,31.94%,$0.00,$0.00
61,Sell Short,28/02/2017 11:30,SE,$8892.00,$0.00,1,$115.00,0.06%,$285.00,80.28%,,$0.00,$0.00
,Buy to Cover,28/02/2017 15:00,SXeoS,$8886.25,,$115.00,$1385.00,,($70.00),52.11%,32.39%,$0.00,$0.00
62,Sell Short,01/03/2017 09:00,SE,$8918.50,$0.00,1,($90.00),-0.05%,$55.00,32.35%,,$0.00,$0.00
,Buy to Cover,01/03/2017 09:15,SXlivS,$8923.00,,($90.00),$1295.00,,($115.00),14.71%,-52.94%,$0.00,$0.00
63,Sell Short,02/03/2017 10:30,SE,$8929.00,$0.00,1,($105.00),-0.06%,$75.00,40.54%,,$0.00,$0.00
,Buy to Cover,02/03/2017 11:15,SXlivS,$8934.25,,($105.00),$1190.00,,($110.00),2.70%,-56.76%,$0.00,$0.00
64,Sell Short,06/03/2017 10:00,SE,$8902.75,$0.00,1,($5.00),0.00%,$30.00,31.58%,,$0.00,$0.00
,Buy to Cover,06/03/2017 10:15,SXlivS,$8903.00,,($5.00),$1185.00,,($65.00),63.16%,-5.26%,$0.00,$0.00
65,Sell Short,09/03/2017 13:30,SE,$8904.75,$0.00,1,($295.00),-0.17%,$155.00,31.00%,,$0.00,$0.00
,Buy to Cover,09/03/2017 14:30,SXlivS,$8919.50,,($295.00),$890.00,,($345.00),10.00%,-59.00%,$0.00,$0.00
66,Sell Short,10/03/2017 12:15,SE,$8933.00,$0.00,1,($45.00),-0.03%,$190.00,74.51%,,$0.00,$0.00
,Buy to Cover,10/03/2017 13:15,SXlivS,$8935.25,,($45.00),$845.00,,($65.00),7.84%,-17.65%,$0.00,$0.00
67,Sell Short,14/03/2017 09:30,SE,$8933.50,$0.00,1,($95.00),-0.05%,$265.00,71.62%,,$0.00,$0.00
,Buy to Cover,14/03/2017 11:15,SXlivS,$8938.25,,($95.00),$750.00,,($105.00),2.70%,-25.68%,$0.00,$0.00
68,Sell Short,15/03/2017 09:00,SE,$8944.75,$0.00,1,($55.00),-0.03%,$160.00,68.09%,,$0.00,$0.00
,Buy to Cover,15/03/2017 11:30,SXlivS,$8947.50,,($55.00),$695.00,,($75.00),8.51%,-23.40%,$0.00,$0.00
69,Sell Short,16/03/2017 10:30,SE,$8967.25,$0.00,1,($120.00),-0.07%,$165.00,55.00%,,$0.00,$0.00
,Buy to Cover,16/03/2017 11:45,SXlivS,$8973.25,,($120.00),$575.00,,($135.00),5.00%,-40.00%,$0.00,$0.00
70,Sell Short,21/03/2017 09:30,SE,$8974.00,$0.00,1,$1640.00,0.91%,$1660.00,96.23%,,$0.00,$0.00
,Buy to Cover,21/03/2017 15:00,SXeoS,$8892.00,,$1640.00,$2215.00,,($65.00),98.84%,95.07%,$0.00,$0.00
71,Sell Short,03/04/2017 10:15,SE,$8981.75,$0.00,1,($275.00),-0.15%,$435.00,58.00%,,$0.00,$0.00
,Buy to Cover,03/04/2017 14:30,SXlivS,$8995.50,,($275.00),$1940.00,,($315.00),5.33%,-36.67%,$0.00,$0.00
72,Sell Short,05/04/2017 14:45,SE,$8987.75,$0.00,1,$80.00,0.04%,$440.00,97.78%,,$0.00,$0.00
,Buy to Cover,05/04/2017 15:00,SXeoS,$8983.75,,$80.00,$2020.00,,($10.00),20.00%,17.78%,$0.00,$0.00
73,Sell Short,10/04/2017 11:30,SE,$8963.25,$0.00,1,($230.00),-0.13%,$0.00,0.00%,,$0.00,$0.00
,Buy to Cover,10/04/2017 12:00,SXlivS,$8974.75,,($230.00),$1790.00,,($285.00),19.30%,-80.70%,$0.00,$0.00
74,Sell Short,11/04/2017 09:00,SE,$8956.75,$0.00,1,$290.00,0.16%,$840.00,90.32%,,$0.00,$0.00
,Buy to Cover,11/04/2017 15:00,SXeoS,$8942.25,,$290.00,$2080.00,,($90.00),40.86%,31.18%,$0.00,$0.00
