

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Buy to Cover,19/12/2016 15:00,EoDS,$8501.75,,$0.00,($1170.00),,($22.50),75.00%,0.00%,$0.00,$0.00
46,Sell Short,21/12/2016 10:15,StochES2,$8511.50,$0.00,3,($34.50),-0.07%,$4.50,9.38%,,$0.00,$0.00
,Buy to Cover,21/12/2016 11:00,StochSx2,$8517.25,,($34.50),($1204.50),,($43.50),18.75%,-71.88%,$0.00,$0.00
47,Sell Short,28/12/2016 09:15,StochES2,$8518.50,$0.00,3,$156.00,0.31%,$163.50,80.15%,,$0.00,$0.00
,Buy to Cover,28/12/2016 15:00,EoDS,$8492.50,,$156.00,($1048.50),,($40.50),96.32%,76.47%,$0.00,$0.00
48,Sell Short,03/01/2017 12:00,StochES2,$8453.25,$0.00,3,($46.50),-0.09%,$7.50,9.62%,,$0.00,$0.00
,Buy to Cover,03/01/2017 14:30,StochSx2,$8461.00,,($46.50),($1095.00),,($70.50),30.77%,-59.62%,$0.00,$0.00
49,Sell Short,12/01/2017 09:00,StochES1,$8588.00,$0.00,3,($102.00),-0.20%,$160.50,57.84%,,$0.00,$0.00
,Buy to Cover,12/01/2017 15:00,EoDS,$8605.00,,($102.00),($1197.00),,($117.00),5.41%,-36.76%,$0.00,$0.00
50,Sell Short,17/01/2017 09:00,StochES1,$8602.25,$0.00,3,($90.00),-0.17%,$37.50,26.88%,,$0.00,$0.00
,Buy to Cover,17/01/2017 10:00,StochSx2,$8617.25,,($90.00),($1287.00),,($102.00),8.60%,-64.52%,$0.00,$0.00
51,Sell Short,17/01/2017 10:30,StochES2,$8611.75,$0.00,3,($33.00),-0.06%,$18.00,30.00%,,$0.00,$0.00
,Buy to Cover,17/01/2017 11:15,StochSx2,$8617.25,,($33.00),($1320.00),,($42.00),15.00%,-55.00%,$0.00,$0.00
52,Sell Short,17/01/2017 11:30,StochES2,$8610.75,$0.00,3,$22.50,0.04%,$72.00,63.16%,,$0.00,$0.00
,Buy to Cover,17/01/2017 15:00,EoDS,$8607.00,,$22.50,($1297.50),,($42.00),56.58%,19.74%,$0.00,$0.00
53,Sell Short,18/01/2017 11:15,StochES2,$8606.50,$0.00,3,($40.50),-0.08%,$3.00,5.88%,,$0.00,$0.00
,Buy to Cover,18/01/2017 11:30,StochSx2,$8613.25,,($40.50),($1338.00),,($48.00),14.71%,-79.41%,$0.00,$0.00
54,Sell Short,19/01/2017 12:45,StochES2,$8622.00,$0.00,3,($9.00),-0.02%,$1.50,7.14%,,$0.00,$0.00
,Buy to Cover,19/01/2017 13:00,StochSx2,$8623.50,,($9.00),($1347.00),,($19.50),50.00%,-42.86%,$0.00,$0.00
55,Sell Short,19/01/2017 13:30,StochES2,$8610.75,$0.00,3,($33.00),-0.06%,$19.50,23.64%,,$0.00,$0.00
,Buy to Cover,19/01/2017 15:00,EoDS,$8616.25,,($33.00),($1380.00),,($63.00),36.36%,-40.00%,$0.00,$0.00
56,Sell Short,20/01/2017 11:30,StochES2,$8621.25,$0.00,3,($13.50),-0.03%,$33.00,31.43%,,$0.00,$0.00
,Buy to Cover,20/01/2017 15:00,EoDS,$8623.50,,($13.50),($1393.50),,($72.00),55.71%,-12.86%,$0.00,$0.00
57,Sell Short,27/01/2017 14:45,StochES2,$8725.25,$0.00,3,($13.50),-0.03%,$1.50,7.14%,,$0.00,$0.00
,Buy to Cover,27/01/2017 15:00,StochSx2,$8727.50,,($13.50),($1407.00),,($19.50),28.57%,-64.29%,$0.00,$0.00
58,Sell Short,30/01/2017 09:00,StochES1,$8686.25,$0.00,3,($12.00),-0.02%,$124.50,78.30%,,$0.00,$0.00
,Buy to Cover,30/01/2017 15:00,EoDS,$8688.25,,($12.00),($1419.00),,($34.50),14.15%,-7.55%,$0.00,$0.00
59,Sell Short,23/02/2017 09:00,StochES1,$8912.25,$0.00,3,$69.00,0.13%,$183.00,84.72%,,$0.00,$0.00
