

Performance Summary

,,,,
TradeStation Performance Summary,,,,
,,,,
,All Trades,Long Trades,Short Trades,
,Sell,18/10/2016 16:50,LX,$2009.3,,$160.00,$13330.00,,($470.00),75.00%,19.05%,$0.00,$0.00
32,Sell Short,21/10/2016 03:20,SE,$2007.9,$0.00,1,($540.00),-0.27%,$40.00,5.63%,,$0.00,$0.00
,Buy to Cover,21/10/2016 16:50,SX,$2013.3,,($540.00),$12790.00,,($670.00),18.31%,-76.06%,$0.00,$0.00
33,Buy,27/10/2016 01:00,LE,$2013.8,$0.00,1,$180.00,0.09%,$570.00,83.82%,,$0.00,$0.00
,Sell,27/10/2016 16:50,LX,$2015.6,,$180.00,$12970.00,,($110.00),42.65%,26.47%,$0.00,$0.00
34,Sell Short,28/10/2016 02:05,SE,$2014.7,$0.00,1,($800.00),-0.40%,$690.00,29.49%,,$0.00,$0.00
,Buy to Cover,28/10/2016 16:50,SX,$2022.7,,($800.00),$12170.00,,($1650.00),36.32%,-34.19%,$0.00,$0.00
35,Sell Short,07/11/2016 02:25,SE,$2034.4,$0.00,1,$670.00,0.33%,$1000.00,87.72%,,$0.00,$0.00
,Buy to Cover,07/11/2016 16:50,SX,$2027.7,,$670.00,$12840.00,,($140.00),71.05%,58.77%,$0.00,$0.00
36,Sell Short,11/11/2016 03:15,SE,$2000.2,$0.00,1,$2900.00,1.45%,$3570.00,82.26%,,$0.00,$0.00
,Buy to Cover,11/11/2016 16:50,SX,$1971.2,,$2900.00,$15740.00,,($770.00),84.56%,66.82%,$0.00,$0.00
37,Buy,15/11/2016 02:40,LE,$1974.8,$0.00,1,($120.00),-0.06%,$240.00,18.75%,,$0.00,$0.00
,Sell,15/11/2016 16:50,LX,$1973.6,,($120.00),$15620.00,,($1040.00),71.87%,-9.38%,$0.00,$0.00
38,Sell Short,16/11/2016 02:20,SE,$1974.3,$0.00,1,$350.00,0.18%,$750.00,83.33%,,$0.00,$0.00
,Buy to Cover,16/11/2016 16:50,SX,$1970.8,,$350.00,$15970.00,,($150.00),55.56%,38.89%,$0.00,$0.00
39,Buy,17/11/2016 03:00,LE,$1973.8,$0.00,1,($1190.00),-0.60%,$310.00,15.05%,,$0.00,$0.00
,Sell,17/11/2016 16:50,LX,$1961.9,,($1190.00),$14780.00,,($1750.00),27.18%,-57.77%,$0.00,$0.00
40,Buy,21/11/2016 02:10,LE,$1959.5,$0.00,1,$30.00,0.02%,$410.00,46.59%,,$0.00,$0.00
,Sell,21/11/2016 16:50,LX,$1959.8,,$30.00,$14810.00,,($470.00),56.82%,3.41%,$0.00,$0.00
41,Sell Short,22/11/2016 01:50,SE,$1962.1,$0.00,1,$450.00,0.23%,$1070.00,79.26%,,$0.00,$0.00
,Buy to Cover,22/11/2016 16:50,SX,$1957.6,,$450.00,$15260.00,,($280.00),54.07%,33.33%,$0.00,$0.00
42,Buy,25/11/2016 02:00,LE,$1926.7,$0.00,1,$1210.00,0.63%,$1650.00,85.94%,,$0.00,$0.00
,Sell,28/11/2016 16:50,LX,$1938.8,,$1210.00,$16470.00,,($270.00),77.08%,63.02%,$0.00,$0.00
43,Sell Short,29/11/2016 04:00,SE,$1934.1,$0.00,1,$60.00,0.03%,$830.00,83.84%,,$0.00,$0.00
,Buy to Cover,29/11/2016 16:50,SX,$1933.5,,$60.00,$16530.00,,($160.00),22.22%,6.06%,$0.00,$0.00
44,Sell Short,30/11/2016 03:05,SE,$1932.7,$0.00,1,$1470.00,0.76%,$1820.00,88.35%,,$0.00,$0.00
,Buy to Cover,30/11/2016 16:50,SX,$1918.0,,$1470.00,$18000.00,,($240.00),83.01%,71.36%,$0.00,$0.00
45,Sell Short,05/12/2016 02:45,SE,$1916.7,$0.00,1,$170.00,0.09%,$1490.00,77.20%,,$0.00,$0.00
,Buy to Cover,05/12/2016 16:50,SX,$1915.0,,$170.00,$18170.00,,($440.00),31.61%,8.81%,$0.00,$0.00
46,Sell Short,07/12/2016 00:25,SE,$1912.1,$0.00,1,($650.00),-0.34%,$170.00,11.26%,,$0.00,$0.00
,Buy to Cover,07/12/2016 16:50,SX,$1918.6,,($650.00),$17520.00,,($1340.00),45.70%,-43.05%,$0.00,$0.00
47,Buy,09/12/2016 01:15,LE,$1913.6,$0.00,1,($940.00),-0.49%,$340.00,20.99%,,$0.00,$0.00
,Sell,09/12/2016 16:50,LX,$1904.2,,($940.00),$16580.00,,($1280.00),20.99%,-58.02%,$0.00,$0.00
